-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.030,  0.148
-183.800, 80.198, 0.027,  0.181
-183.800, 80.197, 0.026,  0.214
-183.800, 80.196, 0.026,  0.247
-183.800, 80.195, 0.027,  0.280
-183.800, 80.194, 0.029,  0.313
-183.800, 80.193, 0.032,  0.346
-183.800, 80.191, 0.037,  0.379
-183.799, 80.190, 0.042,  0.412
-183.799, 80.188, 0.059,  0.445
-183.799, 80.183, 0.143,  0.478
-183.798, 80.177, 0.164,  0.511
-183.798, 80.168, 0.259,  0.544
-183.797, 80.157, 0.320,  0.577
-183.796, 80.146, 0.339,  0.610
-183.795, 80.134, 0.385,  0.643
-183.794, 80.121, 0.395,  0.676
-183.793, 80.105, 0.463,  0.709
-183.792, 80.090, 0.462,  0.742
-183.790, 80.074, 0.461,  0.775
-183.789, 80.060, 0.449,  0.808
-183.788, 80.045, 0.451,  0.841
-183.787, 80.030, 0.460,  0.874
-183.786, 80.014, 0.497,  0.907
-183.784, 79.996, 0.517,  0.940
-183.783, 79.979, 0.512,  0.973
-183.781, 79.962, 0.521,  1.006
-183.780, 79.944, 0.565,  1.039
-183.778, 79.925, 0.564,  1.072
-183.777, 79.906, 0.584,  1.105
-183.775, 79.886, 0.598,  1.138
-183.773, 79.867, 0.607,  1.171
-183.772, 79.846, 0.624,  1.204
-183.770, 79.826, 0.635,  1.237
-183.768, 79.805, 0.640,  1.270
-183.767, 79.784, 0.654,  1.303
-183.765, 79.762, 0.677,  1.336
-183.763, 79.740, 0.663,  1.369
-183.761, 79.718, 0.668,  1.402
-183.759, 79.693, 0.722,  1.435
-183.757, 79.670, 0.704,  1.468
-183.755, 79.647, 0.696,  1.501
-183.753, 79.623, 0.698,  1.534
-183.751, 79.601, 0.686,  1.567
-183.749, 79.578, 0.692,  1.600
-183.747, 79.555, 0.694,  1.633
-183.745, 79.531, 0.717,  1.666
-183.743, 79.506, 0.751,  1.699
-183.740, 79.481, 0.738,  1.732
